001  00001 |Loss: 2.418 | Acc: 10.000% 
001  00002 |Loss: 3.131 | Acc: 9.000% 
001  00003 |Loss: 4.091 | Acc: 10.000% 
001  00004 |Loss: 4.707 | Acc: 10.000% 
001  00005 |Loss: 4.954 | Acc: 11.000% 
001  00006 |Loss: 4.972 | Acc: 11.000% 
001  00007 |Loss: 5.105 | Acc: 12.000% 
001  00008 |Loss: 5.145 | Acc: 11.000% 
001  00009 |Loss: 5.055 | Acc: 11.000% 
001  00010 |Loss: 4.832 | Acc: 12.000% 
001  00011 |Loss: 4.823 | Acc: 12.000% 
001  00012 |Loss: 4.736 | Acc: 12.000% 
001  00013 |Loss: 4.680 | Acc: 12.000% 
001  00014 |Loss: 4.580 | Acc: 12.000% 
001  00015 |Loss: 4.456 | Acc: 12.000% 
001  00016 |Loss: 4.322 | Acc: 12.000% 
001  00017 |Loss: 4.216 | Acc: 12.000% 
001  00018 |Loss: 4.122 | Acc: 12.000% 
001  00019 |Loss: 4.032 | Acc: 12.000% 
001  00020 |Loss: 3.952 | Acc: 12.000% 
001  00021 |Loss: 3.871 | Acc: 12.000% 
001  00022 |Loss: 3.800 | Acc: 12.000% 
001  00023 |Loss: 3.728 | Acc: 12.000% 
001  00024 |Loss: 3.664 | Acc: 12.000% 
001  00025 |Loss: 3.601 | Acc: 13.000% 
001  00026 |Loss: 3.544 | Acc: 13.000% 
001  00027 |Loss: 3.487 | Acc: 13.000% 
001  00028 |Loss: 3.443 | Acc: 13.000% 
001  00029 |Loss: 3.399 | Acc: 14.000% 
001  00030 |Loss: 3.358 | Acc: 14.000% 
001  00031 |Loss: 3.317 | Acc: 14.000% 
001  00032 |Loss: 3.283 | Acc: 14.000% 
001  00033 |Loss: 3.246 | Acc: 14.000% 
001  00034 |Loss: 3.207 | Acc: 15.000% 
001  00035 |Loss: 3.175 | Acc: 15.000% 
001  00036 |Loss: 3.146 | Acc: 15.000% 
001  00037 |Loss: 3.113 | Acc: 16.000% 
001  00038 |Loss: 3.086 | Acc: 16.000% 
001  00039 |Loss: 3.062 | Acc: 16.000% 
001  00040 |Loss: 3.037 | Acc: 16.000% 
001  00041 |Loss: 3.010 | Acc: 16.000% 
001  00042 |Loss: 2.988 | Acc: 17.000% 
001  00043 |Loss: 2.967 | Acc: 17.000% 
001  00044 |Loss: 2.946 | Acc: 17.000% 
001  00045 |Loss: 2.925 | Acc: 17.000% 
001  00046 |Loss: 2.908 | Acc: 17.000% 
001  00047 |Loss: 2.889 | Acc: 17.000% 
001  00048 |Loss: 2.872 | Acc: 17.000% 
001  00049 |Loss: 2.854 | Acc: 17.000% 
001  00050 |Loss: 2.837 | Acc: 17.000% 
001  00051 |Loss: 2.821 | Acc: 17.000% 
001  00052 |Loss: 2.806 | Acc: 17.000% 
001  00053 |Loss: 2.793 | Acc: 17.000% 
001  00054 |Loss: 2.777 | Acc: 18.000% 
001  00055 |Loss: 2.764 | Acc: 18.000% 
001  00056 |Loss: 2.752 | Acc: 18.000% 
001  00057 |Loss: 2.741 | Acc: 18.000% 
001  00058 |Loss: 2.728 | Acc: 18.000% 
001  00059 |Loss: 2.717 | Acc: 18.000% 
001  00060 |Loss: 2.706 | Acc: 18.000% 
001  00061 |Loss: 2.694 | Acc: 18.000% 
001  00062 |Loss: 2.681 | Acc: 18.000% 
001  00063 |Loss: 2.670 | Acc: 18.000% 
001  00064 |Loss: 2.658 | Acc: 18.000% 
001  00065 |Loss: 2.648 | Acc: 18.000% 
001  00066 |Loss: 2.638 | Acc: 18.000% 
001  00067 |Loss: 2.628 | Acc: 18.000% 
001  00068 |Loss: 2.619 | Acc: 18.000% 
001  00069 |Loss: 2.612 | Acc: 18.000% 
001  00070 |Loss: 2.602 | Acc: 19.000% 
001  00071 |Loss: 2.593 | Acc: 19.000% 
001  00072 |Loss: 2.583 | Acc: 19.000% 
001  00073 |Loss: 2.574 | Acc: 19.000% 
001  00074 |Loss: 2.565 | Acc: 19.000% 
001  00075 |Loss: 2.556 | Acc: 19.000% 
001  00076 |Loss: 2.549 | Acc: 19.000% 
001  00077 |Loss: 2.541 | Acc: 19.000% 
001  00078 |Loss: 2.535 | Acc: 19.000% 
001  00079 |Loss: 2.528 | Acc: 19.000% 
001  00080 |Loss: 2.519 | Acc: 19.000% 
001  00081 |Loss: 2.511 | Acc: 19.000% 
001  00082 |Loss: 2.505 | Acc: 19.000% 
001  00083 |Loss: 2.497 | Acc: 19.000% 
001  00084 |Loss: 2.489 | Acc: 19.000% 
001  00085 |Loss: 2.482 | Acc: 19.000% 
001  00086 |Loss: 2.476 | Acc: 19.000% 
001  00087 |Loss: 2.470 | Acc: 20.000% 
001  00088 |Loss: 2.465 | Acc: 20.000% 
001  00089 |Loss: 2.459 | Acc: 20.000% 
001  00090 |Loss: 2.454 | Acc: 20.000% 
001  00091 |Loss: 2.449 | Acc: 20.000% 
001  00092 |Loss: 2.443 | Acc: 20.000% 
001  00093 |Loss: 2.438 | Acc: 20.000% 
001  00094 |Loss: 2.434 | Acc: 20.000% 
001  00095 |Loss: 2.429 | Acc: 20.000% 
001  00096 |Loss: 2.424 | Acc: 20.000% 
001  00097 |Loss: 2.419 | Acc: 20.000% 
001  00098 |Loss: 2.415 | Acc: 20.000% 
001  00099 |Loss: 2.410 | Acc: 20.000% 
001  00100 |Loss: 2.405 | Acc: 20.000% 
001  00101 |Loss: 2.401 | Acc: 20.000% 
001  00102 |Loss: 2.397 | Acc: 20.000% 
001  00103 |Loss: 2.392 | Acc: 20.000% 
001  00104 |Loss: 2.387 | Acc: 20.000% 
001  00105 |Loss: 2.382 | Acc: 20.000% 
001  00106 |Loss: 2.380 | Acc: 20.000% 
001  00107 |Loss: 2.376 | Acc: 20.000% 
001  00108 |Loss: 2.372 | Acc: 20.000% 
001  00109 |Loss: 2.368 | Acc: 20.000% 
001  00110 |Loss: 2.364 | Acc: 20.000% 
001  00111 |Loss: 2.360 | Acc: 21.000% 
001  00112 |Loss: 2.356 | Acc: 21.000% 
001  00113 |Loss: 2.351 | Acc: 21.000% 
001  00114 |Loss: 2.347 | Acc: 21.000% 
001  00115 |Loss: 2.342 | Acc: 21.000% 
001  00116 |Loss: 2.338 | Acc: 21.000% 
001  00117 |Loss: 2.335 | Acc: 21.000% 
001  00118 |Loss: 2.332 | Acc: 21.000% 
001  00119 |Loss: 2.328 | Acc: 21.000% 
001  00120 |Loss: 2.324 | Acc: 21.000% 
001  00121 |Loss: 2.321 | Acc: 21.000% 
001  00122 |Loss: 2.317 | Acc: 21.000% 
001  00123 |Loss: 2.313 | Acc: 21.000% 
001  00124 |Loss: 2.310 | Acc: 21.000% 
001  00125 |Loss: 2.306 | Acc: 21.000% 
001  00126 |Loss: 2.302 | Acc: 21.000% 
001  00127 |Loss: 2.298 | Acc: 21.000% 
001  00128 |Loss: 2.296 | Acc: 22.000% 
001  00129 |Loss: 2.293 | Acc: 22.000% 
001  00130 |Loss: 2.289 | Acc: 22.000% 
001  00131 |Loss: 2.286 | Acc: 22.000% 
001  00132 |Loss: 2.283 | Acc: 22.000% 
001  00133 |Loss: 2.280 | Acc: 22.000% 
001  00134 |Loss: 2.277 | Acc: 22.000% 
001  00135 |Loss: 2.274 | Acc: 22.000% 
001  00136 |Loss: 2.273 | Acc: 22.000% 
001  00137 |Loss: 2.269 | Acc: 22.000% 
001  00138 |Loss: 2.266 | Acc: 22.000% 
001  00139 |Loss: 2.264 | Acc: 22.000% 
001  00140 |Loss: 2.260 | Acc: 22.000% 
001  00141 |Loss: 2.258 | Acc: 22.000% 
001  00142 |Loss: 2.255 | Acc: 22.000% 
001  00143 |Loss: 2.253 | Acc: 22.000% 
001  00144 |Loss: 2.250 | Acc: 22.000% 
001  00145 |Loss: 2.247 | Acc: 22.000% 
001  00146 |Loss: 2.244 | Acc: 23.000% 
001  00147 |Loss: 2.241 | Acc: 23.000% 
001  00148 |Loss: 2.238 | Acc: 23.000% 
001  00149 |Loss: 2.236 | Acc: 23.000% 
001  00150 |Loss: 2.234 | Acc: 23.000% 
001  00151 |Loss: 2.230 | Acc: 23.000% 
001  00152 |Loss: 2.228 | Acc: 23.000% 
001  00153 |Loss: 2.227 | Acc: 23.000% 
001  00154 |Loss: 2.225 | Acc: 23.000% 
001  00155 |Loss: 2.223 | Acc: 23.000% 
001  00156 |Loss: 2.220 | Acc: 23.000% 
001  00157 |Loss: 2.218 | Acc: 23.000% 
001  00158 |Loss: 2.215 | Acc: 23.000% 
001  00159 |Loss: 2.212 | Acc: 23.000% 
001  00160 |Loss: 2.210 | Acc: 23.000% 
001  00161 |Loss: 2.208 | Acc: 23.000% 
001  00162 |Loss: 2.206 | Acc: 23.000% 
001  00163 |Loss: 2.203 | Acc: 23.000% 
001  00164 |Loss: 2.201 | Acc: 23.000% 
001  00165 |Loss: 2.199 | Acc: 23.000% 
001  00166 |Loss: 2.196 | Acc: 23.000% 
001  00167 |Loss: 2.194 | Acc: 23.000% 
001  00168 |Loss: 2.191 | Acc: 24.000% 
001  00169 |Loss: 2.190 | Acc: 24.000% 
001  00170 |Loss: 2.188 | Acc: 24.000% 
001  00171 |Loss: 2.185 | Acc: 24.000% 
001  00172 |Loss: 2.183 | Acc: 24.000% 
001  00173 |Loss: 2.181 | Acc: 24.000% 
001  00174 |Loss: 2.179 | Acc: 24.000% 
001  00175 |Loss: 2.177 | Acc: 24.000% 
001  00176 |Loss: 2.174 | Acc: 24.000% 
001  00177 |Loss: 2.174 | Acc: 24.000% 
001  00178 |Loss: 2.172 | Acc: 24.000% 
001  00179 |Loss: 2.170 | Acc: 24.000% 
001  00180 |Loss: 2.169 | Acc: 24.000% 
001  00181 |Loss: 2.166 | Acc: 24.000% 
001  00182 |Loss: 2.165 | Acc: 24.000% 
001  00183 |Loss: 2.163 | Acc: 24.000% 
001  00184 |Loss: 2.162 | Acc: 24.000% 
001  00185 |Loss: 2.160 | Acc: 24.000% 
001  00186 |Loss: 2.157 | Acc: 24.000% 
001  00187 |Loss: 2.156 | Acc: 24.000% 
001  00188 |Loss: 2.154 | Acc: 24.000% 
001  00189 |Loss: 2.152 | Acc: 24.000% 
001  00190 |Loss: 2.150 | Acc: 24.000% 
001  00191 |Loss: 2.148 | Acc: 24.000% 
001  00192 |Loss: 2.147 | Acc: 24.000% 
001  00193 |Loss: 2.145 | Acc: 24.000% 
001  00194 |Loss: 2.144 | Acc: 24.000% 
001  00195 |Loss: 2.142 | Acc: 24.000% 
001  00196 |Loss: 2.141 | Acc: 25.000% 
001  00197 |Loss: 2.139 | Acc: 25.000% 
001  00198 |Loss: 2.137 | Acc: 25.000% 
001  00199 |Loss: 2.135 | Acc: 25.000% 
001  00200 |Loss: 2.134 | Acc: 25.000% 
001  00201 |Loss: 2.133 | Acc: 25.000% 
001  00202 |Loss: 2.131 | Acc: 25.000% 
001  00203 |Loss: 2.128 | Acc: 25.000% 
001  00204 |Loss: 2.127 | Acc: 25.000% 
